timestamp,label,confidence,threat_score,camouflage,x1,y1,x2,y2
2026-01-31T02:05:50.901,person,0.7415,0.4865,1,310.1908874511719,376.0565185546875,431.0353088378906,499.3311767578125
2026-01-31T02:05:50.902,person,0.5792,0.6580,1,151.05874633789062,1.21002197265625,422.7864074707031,600.3277587890625
2026-01-31T02:05:50.902,person,0.3582,0.3023,1,518.3209228515625,303.91162109375,572.4364013671875,443.2105712890625
2026-01-31T02:05:50.902,person,0.3360,0.3361,1,520.2421264648438,301.77545166015625,592.3555297851562,562.756591796875
2026-01-31T02:05:50.903,person,0.2752,0.3364,1,566.23388671875,228.1361083984375,639.84423828125,556.5106811523438
2026-01-31T02:05:51.582,person,0.7666,0.6617,1,400.95880126953125,231.84014892578125,541.8882446289062,610.912109375
2026-01-31T02:05:51.582,person,0.6962,0.4550,1,526.1107177734375,306.34320068359375,586.0902099609375,548.1591796875
2026-01-31T02:05:51.582,person,0.6950,0.4337,1,595.93310546875,327.24700927734375,639.83251953125,554.8215942382812
2026-01-31T02:05:51.583,person,0.6270,0.6764,1,142.54852294921875,0.19879150390625,413.51531982421875,527.6749877929688
2026-01-31T02:05:51.583,person,0.4417,0.3378,1,563.472900390625,340.95458984375,614.0142822265625,543.6719970703125
2026-01-31T02:05:51.583,person,0.3977,0.3825,1,309.49945068359375,372.06719970703125,440.38958740234375,553.0910034179688
2026-01-31T02:05:52.731,person,0.8126,0.5849,1,318.6965637207031,355.17132568359375,472.8154602050781,569.2022094726562
2026-01-31T02:05:52.731,person,0.7577,0.4746,1,514.5072631835938,305.1358642578125,571.0474243164062,544.6961669921875
2026-01-31T02:05:52.732,person,0.5772,0.6572,1,140.99215698242188,0.9473876953125,404.0126037597656,533.029296875
2026-01-31T02:05:52.732,person,0.5096,0.3814,1,559.2342529296875,336.552734375,625.3914794921875,550.2303466796875
2026-01-31T02:05:53.352,person,0.9155,0.6101,0,297.65069580078125,327.534912109375,462.39410400390625,566.40185546875
2026-01-31T02:05:53.352,person,0.8201,0.5237,1,502.85791015625,302.614990234375,577.4656982421875,556.0433349609375
2026-01-31T02:05:53.353,person,0.6172,0.6726,1,145.87646484375,1.828857421875,401.78082275390625,575.3292236328125
2026-01-31T02:05:53.353,person,0.5904,0.4039,1,571.3438720703125,332.9849853515625,628.51513671875,547.317626953125
2026-01-31T02:05:54.181,person,0.7331,0.7552,1,302.58746337890625,306.17095947265625,515.554443359375,640.0
2026-01-31T02:05:54.181,person,0.7080,0.4584,1,476.38458251953125,302.267578125,534.0910034179688,548.8565063476562
2026-01-31T02:05:54.182,person,0.6941,0.4375,1,522.6307983398438,324.6151123046875,572.4993286132812,542.936279296875
2026-01-31T02:05:54.182,person,0.5689,0.3917,1,567.0277099609375,337.87042236328125,623.9901123046875,541.9501953125
2026-01-31T02:05:54.182,person,0.4804,0.6199,1,143.55282592773438,1.6763916015625,400.8689880371094,607.4202880859375
2026-01-31T02:05:54.964,person,0.7872,0.4753,1,519.2860107421875,319.79486083984375,570.985595703125,541.9877319335938
2026-01-31T02:05:54.965,person,0.7799,0.7746,0,282.51849365234375,313.5020751953125,504.91326904296875,640.0
2026-01-31T02:05:54.965,person,0.7408,0.4728,1,477.31396484375,295.40972900390625,534.2220458984375,552.0516967773438
2026-01-31T02:05:54.965,person,0.6346,0.4066,1,567.37939453125,343.77996826171875,613.5787353515625,542.1966552734375
2026-01-31T02:05:54.966,person,0.4984,0.7271,0,70.270751953125,0.0701904296875,447.233154296875,597.95458984375
2026-01-31T02:05:55.783,person,0.6539,0.4540,1,476.74261474609375,300.868896484375,547.1593627929688,551.6286010742188
2026-01-31T02:05:55.784,person,0.6378,0.4426,1,561.9537963867188,311.6495361328125,630.0639038085938,553.474853515625
2026-01-31T02:05:55.784,person,0.6024,0.4047,1,519.1658935546875,314.69342041015625,569.6961669921875,543.8558959960938
2026-01-31T02:05:55.785,person,0.5949,0.7023,0,102.23587036132812,0.0,502.6180114746094,618.4891357421875
2026-01-31T02:05:55.786,person,0.4265,0.7792,0,228.0215606689453,2.2503662109375,507.98577880859375,598.3919677734375
2026-01-31T02:05:56.592,person,0.6823,0.4509,1,551.1903686523438,384.127685546875,639.8236694335938,552.388427734375
